Book_title,Book_Author,Book_Tag,Challenged
Heidi,Johanna Spyri,"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical",0
My Side of the Mountain,Jean Craighead George,"Fiction, Young Adult, Classics, Childrens, Adventure, Middle Grade, Survival",0
Stormbreaker,Athony Horowitz,"Young Adult, Fiction, Adventure, Mystery, Thriller, Action,  Espionage",0
It's Kind of a Funny Story,Ned Vizzini,"Young Adult, Fiction, Contemporary, Mental Health, Mental Illness, Realistic Fiction, Romance",0
The Unbecoming of Mara Dyer,Michelle Hodkin,"Young Adult, Fantasy, Paranormal, Romance, Mystery, Fiction, Supernatural",0
The Darkest Minds,Alexandra Bracken,"Young Adult, Dystopia, Fantasy, Science Fiction, Romance, Fiction, Paranormal",0
The Indian in the Cupboard,Lynee Reid Banks,"Fantasy, Childrens, Fiction, Young Adult, Classics, Middle Grade, Juvenile",0
Matilda,Roald Dahl,"Childrens, Fiction, Classics, Fantasy, Middle Grade, Young Adult, Humor",0
The Luxe,Anna Godbersen,"Historical Fiction, Young Adult, Romance, Historical, Fiction, Historical Romance, Chick Lit",0
A Wizard of Earthsea,Ursula K. Le Guin,"Fantasy, Fiction, Young Adult, Classics, Science Fiction Fantasy, Magic, High Fantasy",0
"Tomorrow, When the War Began",John Marsden,"Young Adult, Fiction, Dystopia, War, Science Fiction, Adventure, Australia",0
I Capture the Castle,Dodie Smith,"Classics, Fiction, Young Adul, Historical Fiction, Romance, Coming Of Age, Historical",0
How I Live Now,Meg Rosoff,"Young Adult, Fiction, Dystopia, Romance, War, Science Fiction, Teen",0
A Monster Calls,Patrick Ness,"Fantasy, Young Adult, Fiction, Horror, Middle Grade, Contemporary, Magical Realism",0
Keeping the Moon,Sarah Dessen,"Young Adult, Romance, Contemporary, Fiction,  Realistic Fiction, Chick Lit, Teen",0
Julie of the Wolves,Jean Craighead George,"Young Adult, Fiction, Childrens, Classics, Historical Fiction, Middle Grade, Adventure",0
Weetzie Bat,Fracesca Lia Block,"Young Adult, Fiction,  Fantasy, Magical Realism, LGBT, Teen, Romance",0
Harriet the Spy,Louise Fitzhugh,"Fiction, Childrens, Middle Grade, Young Adult, Classics, Mystery, Realistic Fiction",0
The Wind in the Willows,Kenneth Grahame,"Classics, Fiction, Childrens, Fantasy, Animals, Young Adult, Middle Grade",0
Out of the Dust,Karen Hesse,"Historical Fiction, Poetry, Young Adult, Fiction, Middle Grade, Childrens, Historical",0
The Last Unicorn,Peter S. Beagle,"Fantasy, Fiction, Classics, Young Adult, Graphic Novels, Childrens, Adventure",0
The Devil's Arithmetic,Jane Yolen,"Historical Fiction, Young Adult, Holocaust. Fiction, Historical, World War II, Time Travel",0
East,Edith Pattou,"Fantasy, Young Adult, Romance, Retellings, Fairy Tales, Fiction, Adventure",0
The Chocolate War,Robert Cormier,"Young Adult, Fiction, Classics, Realistic Fiction, Banned Books, Teen, School",0
The Summer I Turned Pretty,Jenny Han,"Romance, Young Adult, Contemporary, Fiction, Audiobook, Chick Lit, Realistic Fiction",0
An Ember in the Ashes,Sabaa Tahir,"Fantasy, Young Adult, Romance, Fiction, Young Adult Fantasy, Dystopia, High Fantasy",0
The Looking Glass Wars,Frank Beddor,"Fantasy, Young Adult, Fiction, Retellings, Adventure, Steampunk, Magic",0
The Demon King,Clinda Willams Chima,"Fantasy, Young Adult, Magic, Young Adult Fantasy, Romance, High Fantasy, Fiction",0
Stolen,Lucy Christopher,"Young Adult, Contemporary, Fiction, Romance, Realistic Fiction, Thriller, Mystery",0
Lady Midnight,Cassandra Clare,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Young Adult Fantasy, Fiction",0
The Chosen,Charim Potok,"Fiction, Classics, Historical Fiction, Young Adult, Jewish, Religion, School",0
Tangerine,Edward Bloor,"Young Adult, Fiction, Realistic Fiction,Sports, School, Middle Grade, Read For School",0
King of the Wind: The Story of the Godolphin Arabia,Marguertie Henry,"Horses, Fiction, Historical Fiction, Childrens, Animals, Classics, Young Adult",0
Leviathan,Scott Westerfeld,"Steampunk, Young Adult, Fantasy, Science Fiction, Historical Fiction, Fiction, Alternate History",0
Isle of Winds,James Fahy,"Fantasy, Middle Grade, Young Adult, Fiction, Magic, Fae, Childrens",0
Born at Midnight,C.C. Hunter,"Fantasy, Young Adult, Paranormal, Vampires, Romance, Werewolves, Supernatural",0
The Face on the Milk Carton,Caroline B. Cooney,"Young Adult, Mystery, Fiction, Childrens, Realistic Fiction, Teen, Middle Grade",0
The Miraculous Journey of Edward Tulane,Kate DiCamillo,"Fantasy, Fiction, Childrens, Middle Grade, Young Adult, Adventure, Animals",0
Switched,Amanda Hocking,"Fantasy, Young Adult, Paranormal, Romance, Fiction, Urban Fantasy, Paranormal Romance",0
Fever 1793,Laurie Halse Anderson,"Historical Fiction, Young Adult, Fiction, Historical, Middle Grade, Childrens, School",0
Savvy,Ingrid Law,"Fantasy, Middle Grade, Young Adult, Fiction. Childrens, Adventure,  Magic",0
Peter and the Starcatchers,Dave Barry,"Fantasy, Young Adult, Fiction, Middle Grade, Adventure, Childrens, Retellings",0
Freaky Friday,Mary Rodgers,"Young Adult, Fiction, Fantasy, Childrens, Middle Grade,Humor, Classics",0
Tiger's Curse,Colleen Houck,"Young Adult, Romance, Paranormal, Mythology, Magic, Fiction",0
Avalon High,Meg Cabot,"Young Adult, Fantasy, Romance, Fiction, Chick Lit, Mythology, Teen",0
Little Brother,Cory Doctorow,"Young Adult, Science Fiction, Fiction, Dystopia, Cyberpunk, Teen, Thriller",0
Dragonsong,Anne McCaffrey,"Fantasy, Science Fiction, Dragons, Young Adult, Fiction, Science Fiction Fantasy, Adventure",0
Saving Francesca,Meliina Marchetta,"Young Adult, Contemporary, Fiction, Mental Health, Audiobook, Drama, Young Adult Contemporary",0
The Heart of Aleppo: A Story of the Syrian Civil War,Ammar Habib,"Historical Fiction, Young Adult, Fiction, Historical, Contemporary, War, Inspirational",0
Dragonflight,Anne McCaffrey,"Fantasy, Science Fiction, Dragons, Fiction, Science Fiction Fantasy, Young Adult, High Fantasy",0
Dairy Queen,Catherine Gilbert Murdock,"Young Adult, Contemporary, Sports, Romance, Realistic Fiction, Fiction, Teen",0
The Steward,Christopher Shields,"Fantasy, Young Adult, Fae, Urban Fantasy, Fiction, Paranormal,  Magic",0
The Wales Boy,Rachel M. Greenebaum Moretti,"Young Adult, Fantasy, Paranormal, Paranormal Romance, Romance",0
Summer of My German Soldier,Bette Greene,"Historical Fiction, Young Adult, Fiction, World War II, Romance, Classics, Historical",0
Willow,Julia Hoban,"Young Adult, Romance, Contemporary, Fiction, Mental Health, Realistic Fiction, Mental Illness",0
The Cruel Prince,Holly Black,"Fantasy, Young Adult, Romance, Fae, Fiction, Young Adult Fantasy, Magic",0
The Egypt Game,Zippha Ketly Snyder,"Fiction, Young Adult, Childrens, Middle Grade, Mystery, Fantasy, Egypt",0
Eon: Dragoneye Reborn,Alison Goodman,"Fantasy, Young Adult, Dragons, Magic, Fiction, Young Adult Fantasy, High Fantasy",0
The Prince and the Pauper,Mark Twain,"Classics, Fiction, Historical Fiction, Literature, Childrens, Adventure, Young Adult",0
How to Eat Fried Worms,Thomas Rockwell,"Childrens, Fiction, Young Adult, Middle Grade, Humor, Realistic Fiction, Juvenile",0
The First Pillar,Roy Huff,"Fantasy, Young Adult, Science Fiction, Fiction, Adventure, Paranormal, Science Fiction Fantasy",0
Steelheart,Brandon Sanderson,"Fantasy, Young Adult, Science Fiction, Dystopia, Fiction, Urban Fantasy, Superheroes",0
The View from Saturday,E.L. Konigsburg,"Young Adult, Fiction, Middle Grade, Childrens, Realistic Fiction, School, Juvenile",0
Bloody Jack,L.A. Meyer,"Historical Fiction, Young Adult, Adventure, Pirates, Fiction, Historical, Audiobook",0
Homecoming,Cythia Voigt,"Young Adult, Fiction, Realistic Fiction, Middle Grade, Childrens, Contemporary, Classics",0
Ghostgirl,Tonya Hurley,"Young Adult, Fantasy, Paranormal, Ghosts, Romance, Fiction, Supernatural",0
Token Huntress,Kia Carrington-Russell,"Fantasy, Paranormal, Vampires, Romance, Paranormal Romance, Dystopia, Supernatural",0
The Book of Lost Things,John Connolly,"Fantasy, Fiction, Young Adult, Horror, Fairy Tales, Books About Books, Adventure",0
"That Was Then, This Is Now",S.E. Hinton,"Young Adult, Fiction, Classics, Coming Of Age, Realistic Fiction, Contemporary, Teen",0
A Northern Light,Jennifer Donnelly,"Historical Fiction, Young Adult, Fiction, Mystery, Historical, Romance, Teen",0
Angela's Ashes,Fank McCourt,"Nonfiction, Memoir, Biography, Classics, Ireland, Autobiography, Biography Memoir",0
Seraphina,Rachel Hartman,"Fantasy, Young Adult, Dragons, Fiction, Romance, Young Adult Fantasy, High Fantasy",0
Wildwood Dancing,Juliet Marillier,"Fantasy, Young Adult, Romance, Fairy Tales, Retellings, Fiction, Historical Fiction",0
Skulduggery Pleasant,Derek Landy,"Fantasy, Young Adult, Mystery, Fiction, Urban Fantasy, Middle Grade, Magic",0
Wither,Lauren DeStefano,"Young Adult, Dystopia, Romance, Science Fiction, Fantasy, Fiction, Teen",0
Skellig,David Almond,"Fantasy, Young Adult, Fiction, Middle Grade, Childrens, Magical Realism, Novels",0
Daddy-Long-Legs,Jean Webster,"Classics, Fiction, Young Adult, Romance, Historical Fiction, Childrens, Novels",0
The Sky Is Everywhere,Jandy Nelson,"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Young Adult Contemporary, Music",0
Airhead,Meg Cabot,"Young Adult, Romance, Chick Lit, Contemporary, Fiction, Science Fiction, Teen",0
Letters from Rifka,Karen Hesse,"Historical Fiction, Young Adult, Fiction, Middle Grade, Historical, Childrens, Holocaust",0
Incarceron,Catherine Fisher,"Fantasy, Young Adult, Dystopia, Science Fiction, Steampunk, Fiction, Adventure",0
Cheaper by the Dozen,"Frank B, Gilberth Jr.","Nonfiction, Classics, Biography, Memoir, Humor, Childrens, Biography Memoir",0
Die for Me,Amy Plum,"Young Adult, Paranormal, Fantasy, Romance, Paranormal Romance, Zombies, Supernatural",0
The Wee Free Men,Terry Pratchett,"Fantasy, Fiction, Young Adult, Humor, Childrens, Audiobook, Magic",0
Circle of Five,Jan Raymond,"Fantasy, Young Adult, Science Fiction, Aliens, Fiction, Adventure, Paranormal",0
Sweet Evil,Wendy Higgins,"Young Adult, Paranormal, Fantasy, Romance, Angels, Demons, Paranormal Romance",0
The Merchant of Death,D.J. MacHale,"Fantasy, Young Adult, Fiction, Science Fiction, Adventure, Middle Grade, Childrens",0
Jeremy Fink and the Meaning of Life,Wendy Mass,"Young Adult, Realistic Fiction, Middle Grade, Fiction, Mystery, Contemporary, Childrens",0
The Wednesday Wars,Gary D. Schmidt,"Historical Fiction, Young Adult, Fiction, Middle Grade, Realistic Fiction, Historical, Childrens",0
Princess of Gossip,Julia DeVillers,"Young Adult, Chick Lit, Fiction, Contemporary",0
Dear Mr. Henshaw,Beverly Cleary,"Fiction, Childrens, Middle Grade, Realistic Fiction, Young Adult, Classics, Juvenile",0
Crossroads,Mary Ting,"Angels, Fantasy, Young Adult, Paranormal, Romance, Paranormal Romance, Demons",0
Enclave,Ann Aguirre,"Young Adult, Dystopia, Zombies, Science Fiction, Post Apocalyptic, Fantasy, Romance",0
The Naming,Alison Croggon,"Fantasy, Young Adult, Fiction, High Fantasy, Magic, Young Adult Fantasy, Adventure",0
Children of Blood and Bone,Tomi Adeyemi,"Fantasy, Young Adult, Fiction, Young Adult Fantasy, Magic, Audiobook, Romance",0
Dragon Rider,Cornelia Funke,"Fantasy, Dragons, Young Adult, Fiction, Middle Grade, Childrens, Adventure",0
Starcrossed,Josephine Angelini,"Fantasy, Young Adult, Mythology, Romance, Paranormal, Greek Mythology, Paranormal Romance",0
Anna Dressed in Blood,Kendare Blake,"Young Adult, Horror, Paranormal, Fantasy, Ghosts, Romance, Supernatural",0
Vampire Kisses,Ellen Schreiber,"Vampires, Young Adult, Paranormal, Fantasy, Romance, Paranormal Romance, Supernatural",0
Falling From Grace,S.L. Naeole,"Angels, Young Adult, Paranormal, Romance, Fantasy, Paranormal Romance, Supernatural",0
Code Name Verity,Elizabeth Wein,"Historical Fiction, Young Adult, Fiction, Historical, World War II, War, Audiobook",0
The Penderwicks,Jeanne Birdsall,"Middle Grade, Fiction, Childrens, Realistic Fiction, Young Adult, Family, Audiobook",0
Jessica's Guide to Dating on the Dark Side,Beth Fantaskey,"Young Adult, Vampires, Romance, Paranormal, Paranormal Romance, Supernatural, Fiction",0
Mortal Engines,Philip Reeve,"Fantasy, Young Adult, Science Fiction, Steampunk, Fiction, Dystopia, Adventure",0
The Jungle Books,Rudyard Kipling,"Classics, Fiction, Childrens, Fantasy, Adventure, Short Stories, Literature",0
The Magicians' Guild,Trudi Canavan,"Fantasy, Magic, Young Adult, Fiction, High Fantasy, Epic Fantasy, Adventure",0
The Body Finder,Kimberly Derting,"Young Adult, Paranormal, Mystery, Fantasy, Romance, Fiction, Supernatural",0
Cutters Don't Cry,Chrstine Dzidrums,"Mental Health, Mental Illness, Young Adult, Fiction, Realistic Fiction, Psychology, Contemporary",0
The Wonderful Wizard of Oz,L. Frank Baum,"Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Middle Grade",0
Strange the Dreamer,Laini Taylor,"Fantasy, Young Adult, Romance, Fiction, Young Adult Fantasy, Audiobook, Magic",0
Angel,"L.A, Weatherly","Angels, Young Adult, Fantasy, Paranormal, Romance, Paranormal Romance, Urban Fantasy",0
The Screwtape Letters,C.S. Lewis,"Fiction, Christian, Classics, Religion, Christianity, Fantasy, Theology",0
The Bronze Bow,Elizabeth George Speare,"Historical Fiction, Young Adult, Fiction, Classics, Historical, Childrens, Middle Grade",0
The Diviners,Libba Bray,"Fantasy, Young Adult, Historical Fiction, Paranormal, Mystery, Historical, Horror",0
The Blue Castle,L.M. Montgomery,"Classics, Romance, Fiction, Historical Fiction, Young Adult, Historical, Canada",0
The Kiss of Deception,Mary E. Pearson,"Fantasy, Young Adult, Romance, Young Adult Fantasy, Fiction, High Fantasy, Magic",0
This Savage Song,Victoria Schwab,"Fantasy, Young Adult, Dystopia, Paranormal, Urban Fantasy, Fiction, Young Adult Fantasy",0
Chasing Vermeer,Blue Balliett,"Mystery, Middle Grade, Fiction, Young Adult, Childrens, Art, Adventure",0
Hate List,Jennifer Brown,"Young Adult, Contemporary, Fiction, Realistic Fiction, Teen, Mental Health, High School",0
Z for Zachariah,Robert C. O'Brien,"Young Adult, Science Fiction, Fiction, Post Apocalyptic, Dystopia, Apocalyptic, Survival",0
Mistress Suffragette,Diana Forbes,"Historical Fiction, Fiction, Romance, New Adult, Historical, Adult, Young Adult",0
Shadow Hills,Anastasia Hopcus,"Young Adult, Paranormal, Fantasy, Romance, Mystery, Fiction, Supernatural",0
Dragon Slippers,Jessica Day George,"Fantasy, Dragons, Young Adult, Middle Grade, Fiction, Adventure, Childrens",0
White Cat,Holly Black,"Fantasy, Young Adult, Urban Fantasy, Paranormal, Magic, Fiction, Mystery",0
Airborn,Kenneth Oppel,"Fantasy, Young Adult, Steampunk, Science Fiction, Adventure, Fiction, Teen",0
Carvel,Stephanie Garber,"Fantasy, Young Adult, Romance, Fiction, Young Adult Fantasy, Magic, Mystery",0
"Over Sea, Under Stone",Susan Cooper,"Fantasy, Young Adult, Fiction, Childrens, Middle Grade, Adventure, Arthurian",0
So You Want to Be a Wizard,Diane Duane,"Fantasy, Young Adult, Fiction, Magic, Urban Fantasy, Middle Grade, Childrens",0
Private,Kate Brian,"Young Adult, Mystery, Contemporary, Fiction, Romance, Chick Lit, Boarding School",0
Shiloh,Phyllis Reynolds Naylor,"Fiction, Childrens, Classics, Animals, Young Adult, Middle Grade, Realistic Fiction",0
How to Be Popular,Meg Cabot,"Young Adult, Romance, Chick Lit, Contemporary, Fiction, Teen, Realistic Fiction",0
Illuminae,Amie Kaufman,"Science Fiction, Young Adult, Romance, Fantasy, Fiction, Dystopia, Audiobook",0
North of Beautiful,Justina Chen,"Young Adult, Romance, Contemporary, Realistic Fiction, Fiction, Teen, Chick Lit",0
"The Earth, My Butt, and Other Big Round Things",Carolyn Mackler,"Young Adult, Fiction, Realistic Fiction, Contemporary, Teen, Chick Lit, Humor",0
Book of Shadows,Cate Tiernan,"Young Adult, Fantasy, Witches, Paranormal, Magic, Romance, Fiction",0
Hope Was Here,Joan Baur,"Young Adult, Realistic Fiction, Fiction, Contemporary, Middle Grade, Teen, Coming Of Age",0
The Rithmatist,Brandon Sanderson,"Fantasy, Young Adult, Steampunk, Fiction, Mystery, Magic, Science Fiction",0
Lament,Maggie Stiefvater,"Fantasy, Young Adult, Romance, Paranormal, Fairies, Fae, Urban Fantasy",0
Blood Red Road,Moira Young,"Young Adult, Dystopia, Fantasy, Romance, Science Fiction, Post Apocalyptic, Adventure",0
Mister Monday,Grath Nix,"Fantasy, Young Adult, Fiction, Middle Grade, Childrens, Adventure, Magic",0
Caddie Woodlawn,Carol Ryrie Brink,"Historical Fiction, Childrens, Fiction, Classics, Young Adult, Middle Grade, Historical",0
Obernewtyn,Isobelle Carmody,"Fantasy, Young Adult, Dystopia, Science Fiction, Fiction, Post Apocalyptic, Young Adult Fantasy",0
Green Rider,Kristen Britan,"Fantasy, Young Adult, Fiction, High Fantasy, Magic, Adventure, Epic Fantasy",0
Generation Dead,Daniel Waters,"Young Adult, Zombies, Fantasy, Paranormal, Romance, Fiction, Supernatural",0
Catori's Worlds,Murielle Cyr,"Science Fiction, Young Adult, Coming Of Age, Adventure, Young Adult Romance, Environment, Fantasy",0
The Whipping Boy,Sid Fleischman,"Historical Fiction, Fiction, Childrens, Young Adult, Middle Grade, Classics, Adventure",0
Memoirs of a Teenage Amnesiac,Gabrielle Zevin,"Young Adult, Contemporary, Romance, Fiction. Realistic Fiction, Teen, High School",0
Visions,Lauren Klever,"Fantasy, Young Adult, Adventure, Fiction, Paranormal, Urban Fantasy, Suspense",0
Secrets of the Realm,Bev Stout,"Historical Fiction, Young Adult, Historical, Middle Grade, Fiction, Coming Of Age, Fantasy",0
Double Identity,Margaret Peterson Haddix,"Young Adult, Science Fiction, Fiction, Mystery, Fantasy, Middle Grade, Childrens",0
The Field Guide,Holly Black,"Fantasy, Middle Grade, Childrens, Fiction, Young Adult, Adventure, Magic",0
Rumble Fish,S.E. Hinton,"Young Adult,  Fiction, Classics, Coming Of Age, Realistic Fiction, Teen, Contemporary",0
Virals,Kathy Reichs,"Young Adult, Mystery, Science Fiction, Fiction, Fantasy, Adventure, Paranormal",0
Dream Caster,Najeev Raj Nadarajah,"Fantasy, Young Adult, Science Fiction, Dystopia, Post Apocalyptic, Fiction, Paranormal",0
The Silver Kiss,Annette Curtis Klause,"Young Adult, Vampires, Fantasy, Romance, Paranormal, Fiction, Horror",0
The Testing,Joelle Charbonneau,"Dystopia, Young Adult, Science Fiction, Fiction, Fantasy, Romance, Post Apocalyptic",0
Oh. My. Gods.,Tera Lynn Childs,"Young Adult, Mythology, Fantasy, Romance, Paranormal, Greek Mythology, Fiction",0
Cruel Beauty,Rosamund Hodge,"Fantasy, Young Adult, Romance, Retellings, Fairy Tales, Mythology, Young Adult Fantasy",0
The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making,Catherynne M. Valente,"Fantasy, Young Adult, Middle Grade, Fiction, Childrens, Adventure, Fairy Tales",0
The Clique,Lisi Harrison,"Young Adult, Realistic Fiction, Chick Lit, Contemporary, Middle Grade, Fiction, Childrens",0
Looking for Alibrandi,Melina Marchetta,"Young Adult, Contemporary, Fiction, Romance, Australia, Coming Of Age, Realistic Fiction",0
Magyk,Angie Sage,"Fantasy, Young Adult, Middle Grade, Fiction, Magic, Childrens, Adventure",0
The Queen of the Tearling,Erika Johansen,"Fantasy, Young Adult, Fiction, Dystopia, Magic, Adult, Young Adult Fantasy",0
The Sea of Trolls,Nancy Farmer,"Fantasy, Young Adult, Mythology, Fiction, Historical Fiction, Adventure, Middle Grade",0
