Author,Book,Series Name (If Title is Part of a Series),Secondary Author(s),Illustrators,Translators,Type of Challenge,Challenge Initiated By,Initial Response,Challenge Notes,Decision,Are Restrictions Applied,Restriction Details,Library Type,Month,Year,State,School District,City,County,School Name,Library Name,Police Involved,Current Book Status,Date of Data Input,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,,,,,,,,,,,,,,,,,,,
"Pitman, Gayle E.",The Stonewall Riots: Coming Out in the Street,,,,,Informal Challenge,Parent,N/A - See Notes,Protested at a board meeting. the books were part of an optional book fair held in the middle school.,N/A,,,School ,April,2022,Alaska,Matanuska Susitna Borough School District (MSBSD)/Mat Su Borough Assembly,,,Teeland Middle School,,,,4/16/23,https://www.frontiersman.com/news/people-voice-concerns-over-tms-book-fair-during-msbsd-msb-assembly-meeting/article_4cc30be4-cf64-11ed-932a-3725c6219e9a.html,https://bookriot.com/mat-su-book-censorship/,,,,,,,,,,,,,,,,,,,,,
"Locke, Katherine",This is Our Rainbow,,"Melleby, Nicole",,,Informal Challenge,Parent,N/A - See Notes,Protested at a board meeting. the books were part of an optional book fair held in the middle school.,N/A,,,School ,April,2022,Alaska,Matanuska Susitna Borough School District (MSBSD)/Mat Su Borough Assembly,,,Teeland Middle School,,,,4/16/23,https://www.frontiersman.com/news/people-voice-concerns-over-tms-book-fair-during-msbsd-msb-assembly-meeting/article_4cc30be4-cf64-11ed-932a-3725c6219e9a.html,https://bookriot.com/mat-su-book-censorship/,,,,,,,,,,,,,,,,,,,,,
,Jack (Not Jackie),,,,,Unclear,,Challenged - Removed While Under Review,"Soft Censorship - ""checked out for review""",Unknown,,,Public,,,Alaska,,,,,Anchorage Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jacob's New Dress,,,,,Unclear,,Challenged - Removed While Under Review,"Soft Censorship - ""checked out for review""",Unknown,,,Public,,,Alaska,,,,,Anchorage Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Love, Jessica",Julian is a mermaid,,,,,Formal Challenge,,Challenged - Location Unknown,,Still in Process,,,Public,November,2022,Alaska,,,Homer,,Homer Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,Unclear,,Challenged - Removed While Under Review,"Soft Censorship - ""checked out for review""",Unknown,,,Public,,,Alaska,,,,,Anchorage Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baldacchino, Christine",Morris Micklewhite and the Tangerine Dress,,,"Malenfant, Isabelle",,Formal Challenge,,Challenged - Location Unknown,Retained - BUT appealed to board,Still in Process,,,Public,November,2022,Alaska,,,Homer,,Homer Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sex is a Funny Word: A Book About Bodies, Feelings, and YOU",,,,,Unclear,,Challenged - Removed While Under Review,"Soft Censorship - ""checked out for review""",Unknown,,,Public,,,Alaska,,,,,Anchorage Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sanders, Rob and Robbie Cathro",Two Grooms on a Cake: The Story of America's First Gay Wedding,,,,,Formal Challenge,,Challenged - Location Unknown,,Still in Process,,,Public,November,2022,Alaska,,,Homer,,Homer Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gino, Alex",Melissa,,,,,,,Challenged - Location Unknown,,,,,School ,September,2022,Arizona,Chandler Unified School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silverberg, Cory",Sex is a Funny Word,,,,,,,Challenged - Location Unknown,reshelved to new parnet section,Reshelved,Yes,Restricted to Parents,Public,June,2022,Arizona,,,Payson,,Gila County Library District,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,,,,,,,,,Banned,,,School ,,,Arkansas,Conway Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Callender, Kacen",Felix Ever After,,,,,,,,,Banned,,,School ,,,Arkansas,Conway Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Parent,Challenged - Location Unknown,Parent heard about the books from friends and internet. Appealed challenges to the board.,Retained Restricted,Yes,Restricted to age 17 plus - on a separate shelf and a sticker denoting status.,School ,March,2023,Arkansas,Farmington Public Schools,,,,,,,4/9/23,https://wcel.nwaonline.com/news/2023/apr/05/school-board-restricts-access-to-two-library-books/,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Tricks,Tricks Series,,,,Formal Challenge,Parent,Challenged - Location Unknown,Parent heard about the books from friends and internet. Appealed challenges to the board.,Retained Restricted,Yes,Restricted to age 17 plus - on a separate shelf and a sticker denoting status.,School ,March,2023,Arkansas,Farmington Public Schools,,,,,,,4/9/23,https://wcel.nwaonline.com/news/2023/apr/05/school-board-restricts-access-to-two-library-books/,,,,,,,,,,,,,,,,,,,,,,
"Richardson, Justin",And Tango Makes Three,,"Parnell, Peter","Cole, Henry",,,,,had been appealed to board - keeep in elementary school,Retained,,,School ,January,2023,Arkansas,Fayetteville Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richardson, Justin",And Tango Makes Three,,"Parnell, Peter","Cole, Henry",,,,,,,,,Public,,,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,,,,,,,,,,,,Public,,,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Geron and illustrated by Charlene Chua,Bye Bye Binary,,,,,,,,These and other books are being removed to adult sections of the library where they can not be seen by children unsupervised.,Reshelved,,,Public,December,2022,Arkansas,,,,,Crawford County Library System,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saltz, Gail",Changing You: A Guide to Body Changes and Sexuality,,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,Arkansas,,,,,Jonesboro Craighead County Library,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Ceilley and Rachel Smoka-Richardson and illustrated by Stephanie Laberis,Cinderelliot: A Scrumptious Fairytale,,,,,,,,These and other books are being removed to adult sections of the library where they can not be seen by children unsupervised.,Reshelved,,,Public,December,2022,Arkansas,,,,,Crawford County Library System,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gender Queer,,,,,,,,,,,,Public,,,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,,,,,,,,,,,,,,,,,,,,,,,
,How to be an AntiRacist,,,,,,,,,,,,Public,,,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harris, Robie","It's not the Stork! A Book about Girls, Boys, Babies, Bodies, Families, and Friends",,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,Arkansas,,,,,Jonesboro Craighead County Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harris, Robie","It's Perfectly Normal: Changing Bodies, Growing Up, Sex and Sexual Health",,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,Arkansas,,,,,Jonesboro Craighead County Library,,,,,,,,,,,,,,,,,,,,,,,,,,
,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex and Sexual Health",,,,,,,,,,,,Public,,,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harris, Robie","It's So Amazing! A Book About Eggs, Sperm, Birth, Babies and Families",,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,Arkansas,,,,,Jonesboro Craighead County Library,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jacob's New Dress,,,,,,,,,,,,Public,,,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren","l8r, g8r",,,,,,,,,Weeded,,,Public,August,2022,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,Library Board Lets book remain pulled,,,,,,,,,,,,,,,,,,,,,,
,Melissa,,,,,,,,,,,,Public,,,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,,,,,,,,,,,,,,,,,,,,,,,
Leslea Newman and illustrated by Carol Thompson,"Mommy, Mama and Me",,,,,,,,These and other books are being removed to adult sections of the library where they can not be seen by children unsupervised.,Reshelved,,,Public,December,2022,Arkansas,,,,,Crawford County Library System,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silverberg, Gary","Sex is a Funny Word: A Book About Bodies, Feelings, and YOU",,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,Arkansas,,,,,Jonesboro Craighead County Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blackall, Sophie",The Baby Tree,,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,Arkansas,,,,,Jonesboro Craighead County Library,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica Kingsley and illustrated by Jem Milton,The Big Book of Pride Flags,,,,,,,,These and other books are being removed to adult sections of the library where they can not be seen by children unsupervised.,Reshelved,,,Public,December,2022,Arkansas,,,,,Crawford County Library System,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Angie",The Hate U Give,,,,,,,,,,,,Public,,,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",TTFN,,,,,,,,,Weeded,,,Public,August,2022,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,Library Board Lets book remain pulled,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",TTYL,,,,,,,,,Weeded,,,Public,August,2022,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,Library Board Lets book remain pulled,,,,,,,,,,,,,,,,,,,,,,
Sarah Brannen,Uncle Bobby’s Wedding,,,,,,,,These and other books are being removed to adult sections of the library where they can not be seen by children unsupervised.,Reshelved,,,Public,December,2022,Arkansas,,,,,Crawford County Library System,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gagne, Tammy",Understanding Gender Dysphoria,,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,Arkansas,,,,,Jonesboro Craighead County Library,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wait, What? A Comic Book Guide to Relationships, Bodies and Growing Up",,,,,,,,,,,,Public,,,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,,,,,,,,,,,,,,,,,,,,,,,
,What's Happening to Me,,,,,,,,,,,,Public,,,Arkansas,,,Craighead County,,Craighead County Jonesboro public Library Board of Trustees,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harris, Robie",What's In there? All About You Before You Were born,,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,Arkansas,,,,,Jonesboro Craighead County Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hummel, Ruth",Where Do Babies Come From? Boys Ages 6-8,,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,Arkansas,,,,,Jonesboro Craighead County Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harris, Robie",Who Has What? All About Girls' Bodies and Boy's Bodies,,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,Arkansas,,,,,Jonesboro Craighead County Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greene, Carol",Why Boys and Girls are Different,,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,Arkansas,,,,,Jonesboro Craighead County Library,,,,,,,,,,,,,,,,,,,,,,,,,,
