Author,Book,Series Name (If Title is Part of a Series),Secondary Author(s),Illustrators,Translators,Type of Challenge,Challenge Initiated By,Initial Response,Challenge Notes,Decision,Are Restrictions Applied,Restriction Details,Library Type,Month,Year,State,School District,City,County,School Name,Library Name,Police Involved,Current Book Status,Date of Data Input,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,,,,,,,,,,,,,,,,,,,
"Acito, Marc",How I Paid for College,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kendi, Ibram X",How to Be an Antiracist,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gay, Roxane",Hunger: A Memoir of (My) Body,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cast, P.C.",Hunted: A House of Night Novel,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medina, Tony",I Am Alfonso Jones,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medina, Tony",I Am Alfonso Jones,,,"Robinson, Stacey; Jennings, John",,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forman, Gayle",I Have Lost My Way,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, C.K. Kelly",I Know It's Over,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angelou, Maya",I Know Why the Caged Bird Singa,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopper, Laura",I Never: A Novel,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deaver, Mason",I Wish You All the Best,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Lyla",I'll Be the One,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nelson, Jandy",I'll Give You the Sun,,,,,,,Challenged - Location Unknown,,,,,School ,August,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nelson, Jandy",I'll Give You the Sun,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Identical,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forman, Gayle",If I Stay,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Russo, Meredith",If I Was Your Girl,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Russo, Meredith",If I Was Your Girl,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woodson, Jacqueline",If You Come Softly,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farizan, Sara",If You Could Be Mine,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mafi, Tahereh",Ignite Me,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cohen, Adam",Imbeciles: The Supreme Court,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Impulse,Impulse Series,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silvera, Adam",Infinity Son (Infinity Cycle Series),,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yoon, Nicola",Instructions for Dancing,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yoon, Nicola",Instructions for Dancing: A Novel,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krakauer,Into the Wild,,,,,,,Challenged - Location Unknown,,,,,School ,August,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Díaz, Junot",Islandborn,,,"Espinosa, Leo",,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drachman, Eric",It's Me,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blake, Ashley Herring",Ivy Aberdeen's Letter to the World,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marchetta, Melina",Jellicoe Road,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scheeres, Julia",Jesus Land: A Memoir,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Rachael L.",Joe Biden,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Love, Jessica",Julian is a Mermaid,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rivera, Gabby",Juliet Takes a Breath,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albertalli, Becky",Kate in Waiting,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venable, Colleen AF","Katie the Catsitter, Best Friends for Never Book 2",,,"Yue, Stephanie",,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duncan, Lois",Killing Mr. Griffin,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Callender, Kacen",King and the Dragonflies,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",Kingdom of Ash,Throne of Glass Series,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buford, Candace",Kneel,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buford, Candace",Kneel,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren","l8r, g8r",,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren","l8r, g8r",,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cordova, Zoraida",Labyrinth Lost,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lo, Malinda",Last Night at the Telegraph Club,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mead, Richelle",Last Sacrifice: Vampire Academy,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tamaki, Mariko",Laura Dean Keeps Breaking Up with Me,,,"Valero-O'Connell, Rosemary",,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albertalli, Becky",Leah on the Offbeat,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albertalli, Becky",Leah on the Offbeat,Simonverse Series,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moen, Erika",Let's Talk About It: A Teen's Guide to Sex,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lester, Julius",Let's Talk About Race,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frank, ER",Life is Funny,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magoon, Kekla",Light It Up,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nazemian, Abdi",Like a Love Story,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nazemian, Abdi",Like a Love Story,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gephart, Donna",Lily and Dunkin,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gephart, Donna",Lily and Dunkin,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colbert, Brandy",Little & Lion,,,,,,,Challenged - Location Unknown,,,,,School ,August,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colbert, Brandy",Little & Lion,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scott, Elizabeth",Living Dead Girl,,,,,,,Challenged - Removed While Under Review,,,,,School ,August,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scott, Elizabeth",Living Dead Girl,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garber, Romina",Lobizona: A Novel,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perkins, Stephanie",Lola and the Boy Next Door,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reynolds, Jason",Long Way Down,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, John",Looking for Alaska,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Love Lies Beneath,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seabold, Alice",Lucky,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Friend, Natasha",Lush,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riordan, Rick",Magnus Chase: The Hammer of Thor,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glines, Abbi",Making a Play,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ryan, Pam Munoz",Mananaland,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cast, P.C.",Marked: A House of Night Novel,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sindu, S. J.",Marriage of a Thousand Lies,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sindu, SJ",Marriage of a Thousand Lies,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sachar, Louis",Marvin Redpost: Is He a Girl?,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrews, Jesse",Me and Earl and the Dying Girl,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gino, Alex",Melissa,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De la Pena, Matt",Mexican Whiteboy,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mead, Richelle",Midnight Jewel,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaur, Rupi",Milk and Honey,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaur, Rupi",Milk and Honey,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Tiffany",Monday's Not Coming,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myers, Walter Dean",Monster,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silvera, Adam ",More Happy Than Not,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ness, Patrick",More Than This,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McNeil, Gretchen",Murder Trending,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Talley, Robin",Music from Another World,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leavitt, Martine",My Book of Life by Angel,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backderf, Derf",My Friend Dahmer,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backderf, Derf",My Friend Dahmer,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rawles, Nancy",My Jim,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fitzpatrick, Huntley",My Life Next Door,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Picoult, Jodi",My Sister's Keeper,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clanton, Ben",Narwhal Peanut Butter and Jelly #3,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wright, Richard",Native Son,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blackman, Malorie",Naughts & Crosses,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norton, Preston",Neanderthal Opens the Door to the Universe,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Klobuchar, Senator Amy",Nevertheless We Persisted,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cohn, Rachel & Levithan, David",Nick & Norah's Infinite Playlist,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lukavics, Amy",Nightingale,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stevenson, N.D.",Nimona,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Picoult, Jodi",Nineteen Minutes,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Von Ziegesar, Cecily ",Nobody Does it Better: A Gossip Girl Novel,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smyth, Ciara",Not My Problem,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smyth, Ciara",Not My Problem,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moskowitz, Hannah",Not Otherwise Specified,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moskowitz, Hannah",Not Otherwise Specified,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gay, Roxanne",Not That Bad,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stanley, Deborahe A.",Novels for Students: Volume 9,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ward, Rachel",Num8ers,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stone, Nic",Odd One Out,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rennison, Louise","On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)",,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capetta, Amy Rose & McCarthy, Cori",Once & Future,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leone, Bruce",Opposing Viewpoints in American History: Volume 1,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armentrout, Jennifer L.",Opposition Lux #5,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sepetys, Ruta",Out of the Easy,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gabaldon, Diana ",Outlander,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",People Kill People,,,,,,,Challenged - Removed While Under Review,,,,,School ,August,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",People Kill People,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mele, Dana",People Like Us,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Perfect,Impulse Series,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Perfect,Impulse Series,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elkeles, Simone",Perfect Chemistry #1,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mesrobian, Carrie",Perfectly Good White Boy,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mesrobian, Carrie",Perfectly Good White Boy,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Satrapi, Marjane",Persepolis,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Snyder, Maria V.",Poison Study,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"London, Alex",Proxy,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rowell, Rainbow",Pumpkinheads,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapphire,Push,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGarry, Katie",Pushing the Limits,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",Queen of Shadows,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prager, Sarah",Queer There and Everywhere,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Updike, John",Rabbit is Rich,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sanchez, Alex",Rainbow Boys,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murphy, Julie",Ramona Blue,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cabot, Meg",Ready or Not,All-American Girl Series,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lockhart, E.",Real Live Boyfriends,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woodson, Jacqueline",Red at the Bone,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woodson, Jacqueline",Red at the Bone,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",Red Hood,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",Red Hood,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McQuiston, Casey","Red, White, and Royal blue",,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hall, Michael",Red: A Crayon's Story,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hall, Michael",Red: A Crayon's Story,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cast, P.C.",Redeemed: A House of Night Novel,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elkeles, Simone",Return to Paradise,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cast, P.C.",Revealed,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
