Book_Author,Book_Title,Series_Name,Book_Co_Author,Illustrators,Translators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Sch_Dist,City,County,Sch_Name,Lib_Name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4
"Morrison, Toni",Beloved,,,,,Formal Challenge,Affiliation Unknown,N/A - See Notes,No review by school - they were already approved for curriculum,Unknown,,,School ,,,Pennsylvania,Littlestown Area School District,,,,,Unknown,,,,,,
"Morrison, Toni",Beloved,,,,,Response to Law,Affiliation Unknown,Challenged - Removed While Under Review,,Retained Restricted,Yes,were removed from shelves - accessible by parent permission,School ,,,Pennsylvania,Pleasant Valley School District,,,,,Unknown,,,,,,
"Morrison, Toni",Beloved,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Morrison, Toni",Beloved,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,Restricted to Grade 11 and Grade 12,School ,,,Texas,Katy ISD,,,,,Unknown,,,,,,
"Morrison, Toni",Beloved,,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School ,,,Texas,Klein ISD,,,,,Unknown,,,,,,
"Morrison, Toni",Beloved,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,,Unknown,,,School ,,,Virginia,Bedford,,,,,Unknown,,,,,,
"Morrison, Toni",Beloved,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,"Retained - but challenged to Board, review in process",Retained,,,School ,,,Virginia,Spotslyvania County,,,,,Unknown,,,,,,
"Hoffman, Eric",Best best colors,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Peters, Julie Anne",Between Mom and Jo,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Stoeve, Ray",Between Perfect and Real,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,FOUR,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Septys, Ruta",Between Shades of Gray,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",Retained Restricted,Yes,"Banned - Middle School Library
Retained - High School Library",School ,October,2021,Oklahoma,Bristow Public Schools,,,,,Unknown,,,,,,
"Coates, Ta-Nehisi",Between the World and Me,,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,,Banned,,,School ,,,Illinois,Rockford,,,,,Unknown,,,,,,
"Coates, Ta-Nehisi",Between the world and me,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Coates, Ta-Nehisi",Between the World and Me,,,,,Response to Law,Affiliation Unknown,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Reynolds,
 Marilyn","Beyond dreams : true-to-
 life series from Hamilton
 High",,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,,Retained Restricted,Yes,,School ,,,Arkansas,Siloam Springs School District,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,Complaints only in board meeting,School ,,,Florida,Hillsborough,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,needs more research,Retained Restricted,Yes,RETAINED - HS; RETAINED MS at discretion of staff,School ,February,2022,Georgia,Cherokee County School District,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Georgia,Savannah-Chatham County Public School SYstem,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained,,,School ,,,Illinois,Harlem School District 122,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,"in all cases, the complaintant requested the book be REMOVED",Unknown,,,School ,,,Missouri,Nixa Public Schools,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,New Jersey,North Hunterton,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Parent,Challenged - Removed While Under Review,Books were taken from the MS and HS for members of the committee to read - but were not made unavailable.,Unknown,,,School ,,,New York,Yorktown Central School District,,,Yorktown High School,,Unknown,,,,,,
Sapphire,Push,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Retained,,,School ,May,2022,Texas,Eanes,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,March,2022,North Carolina,Catawba County Schools,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Pennsylvania,Keystone School District,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Administration,Challenged - Removed While Under Review,Book already under review,Unknown,,,School ,,,Texas,Birdville,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Parent,Challenged - Location Unknown,emailed parent 11/21,Unknown,,,School ,,,Texas,Birdville,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,middle School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,rermoved while under review,Retained Restricted,Yes,Maybe formal challenge filed? ,School ,,,Texas,Fredericksburg ISD,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,Unclear - not on the list?,Unknown,,,School ,,,Texas,Keller,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School ,,,Texas,Klein ISD,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
