Book_Author,Book_Title,Series_Name,Book_Co_Author,Illustrators,Translators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Sch_Dist,City,County,Sch_Name,Lib_Name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4
"Kerr, M. E.","""Hello,"" I lied : a novel",,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Thomas, Rachel L.",#BlackLivesMatter : Protesting Racism,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Thomas, Rachel L.",#BlackLivesMatter : Protesting Racism,,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,
"Ukazu, Ngozi",#Hockey,"Check, Please! Series",,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Collierville Schools,,,,,Unknown,,,,,,
"McNeil, Gretchen",#MurderTrending,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Georgia,Savannah-Chatham County Public School SYstem,,,,,Unknown,,,,,,
"McNeil, Gretchen",#MurderTrending,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Kansas,Goddard,,,,,Unknown,,,,,,
"Mac, Carrie",10 Things I Can See from Here,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Mac, Carrie",10 Things I Can See from Here,,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,
"Henderson, Elisabeth","100 Questions You'd Never Ask Your Parents: Straight Answers to a Teens' Questions About Sex, Sexuality, and Health",,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,removed while under investigation.,Unknown,,,School ,,,Texas,Klein ISD,,,,,Unknown,,,,,,
"Brynie, Faith Hickman",101 questions about reproduction : or how 1 + 1 = 3 or 4 or more-- ,,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,
"Brynie, Faith Hickman",101 questions about reproduction : or how 1 + 1 = 3 or 4 or more-- ,,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,January,2022,New York,Auburn Enlarged City School District,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Targeted During Board Meeting,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,January,2022,New York,Baldwinsville Central School District,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,January,2022,New York,Baldwinsville Central School District,,,,,Unknown,,,,,,
"Atwood, Margaret",The Handmaid's Tale,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,January,2022,New York,Baldwinsville Central School District,,,,,Unknown,,,,,,
"Levithan, David",19 Love Songs,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Levithan, David",19 Love Songs,,,,,Unclear,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Texas,Prosper ISD,,,,,Unknown,,,,,,
"Rapp, Adam",33 Snowfish,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,"committee recommended further review, not immediate censorship",Banned,,,School ,,,Idaho,Nampa School District,,,,,Unknown,,,,,,
"Rapp, Adam",33 Snowfish,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,,Retained Restricted,Yes,pulled from shelves per M4L,School ,,,Michigan,Gladwin Community Schools,,,,,Unknown,,,,,,
"Rapp, Adam",33 Snowfish,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,11/2021 sent note to school?,Retained Restricted,Yes,"School wanted individual complaints per book - no response from parent, online ""outrage""",School ,,,Utah,Murray City School District,,,,,Unknown,,,,,,
"Rapp, Adam",33 Snowfish,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,unconstitutional order to remove book,Unknown,,,School ,,,Virginia,Spotslyvania County,,,,,Unknown,,,,,,
San Francisco Writers Grotto,642 Things to Write About,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,was part of the Hudson High School senior College Credit Plus writing class,Retained Restricted,Yes,Removed from curriculum,School ,,,Ohio,Hudson,,,,,Unknown,,,,,,
"Trueman, Terry",7 Days at the Hot Corner,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Removed,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School ,February,2022,Virginia,Bedford County School District ,,,,,Unknown,,,,,,
"Cronn-Mills, Kirstin",Beautiful Music for Ugly Children,,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School ,February,2022,Virginia,Bedford County School District ,,,,,Unknown,,,,,,
"Morrison, Toni",Beloved,,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School ,February,2022,Virginia,Bedford County School District ,,,,,Unknown,,,,,,
,Freak Boy,,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School ,February,2022,Virginia,Bedford County School District ,,,,,Unknown,,,,,,
,Glass Castle,,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School ,February,2022,Virginia,Bedford County School District ,,,,,Unknown,,,,,,
,Kite Runner,,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School ,February,2022,Virginia,Bedford County School District ,,,,,Unknown,,,,,,
,Love Drugged,,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School ,February,2022,Virginia,Bedford County School District ,,,,,Unknown,,,,,,
,Murder Trending,,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School ,February,2022,Virginia,Bedford County School District ,,,,,Unknown,,,,,,
"Gino, Alex",RICK,,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School ,February,2022,Virginia,Bedford County School District ,,,,,Unknown,,,,,,
"Morrison, Toni",The Bluest Eye,,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School ,February,2022,Virginia,Bedford County School District ,,,,,Unknown,,,,,,
,What My Mother Doesn't Know,,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School ,February,2022,Virginia,Bedford County School District ,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Arkansas,Bentonville,,,,,Unknown,,,,,,
"MOrrison, Toni",The Bluest Eye,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Arkansas,Bentonville,,,,,Unknown,,,,,,
"Roy, Arundhati",The God of Small Things,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Arkansas,Bentonville,,,,,Unknown,,,,,,
"Hosseini, Khaled",The Kite Runner,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Arkansas,Bentonville,,,,,Unknown,,,,,,
"Trueman, Terry",7 Days at the Hot Corner,,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,
"Stone, Tanya Lee",A Bad Boy Can Be Good For A Girl,,,,,Unclear,Administration,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Devore, Laurie",A Better Bad Idea,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Boelts, Maribeth",A Bike Like Sergio's,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,Fauquier County Public Schools,,,,,Unknown,,,,,,
"Arnold, Elana K.",A Boy Called Bat,,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,and MANY more,Unknown,,,School ,September,2021,Pennsylvania,Central York,,,,,Unknown,,,,,,
"Arnold, Elana K.",A Boy Called Bat,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,Fauquier County Public Schools,,,,,Unknown,,,,,,
"Whitcomb, Laura",A Certain Slant of Light,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Retained Restricted,HIgh School Only,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,,,,,,
"Hutchinson, Shaun David",A Complicated Love Story Set in Space,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Frost and Starlight,,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,in quarentine,Unknown,,,School ,,,Florida,Brevard County Public Schools,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Frost and Starlight,,,,,Formal Challenge,Administration,Challenged - Removed While Under Review,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",Retained Restricted,Yes,High School Only; Flagged 16+,School ,October,2021,Oklahoma,Bristow Public Schools,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Frost and Starlight,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,Removed 3/13 schools removed ebook,Banned,,,School ,,,Florida,Brevard County Public Schools,,,,,Unknown,,,Brevard Cty M4L Site Stating They Are On Quarentine,,,
"Maas, Sarah J.",A Court of Mist and Fury,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School ,,,Florida,Jackson County School Board,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School ,,,Florida,Walton County School District,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Georgia,Coweta County School District,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,Committee said this wasn't on shelves - it had already been pulled by librarians.,Banned,,,School ,,,Idaho,Nampa School District,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,March,2022,North Carolina,Catawba County Schools,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Retained HS but must have parent permission to check out; Not available MS and should not be considered for MS,Retained Restricted,,Retained HS but must have parent permission to check out; Not available MS and should not be considered for MS,School ,,,Tennessee,Wilson County School Board,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,11/2021 sent note to school?,Retained Restricted,Yes,"School wanted individual complaints per book - no response from parent, online ""outrage""",School ,,,Utah,Murray City School District,,,,,Unknown,,,,,,
"Andrews, Jesse","Me, Earl and the Dying GIrl",,,,,Unclear,Administration,Challenged - Removed While Under Review,NOv 21 removed from Carpenters Middle School LIbrary because the principal saw comments on line,Banned,,,School ,November,2021,Tennessee,Blount County Schools,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,Fauquier County Public Schools,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of of Wings and Ruin,,,,,Administrative Review,Affiliation Unknown,Challenged - Removed While Under Review,,Unknown,,,School ,,,Florida,Brevard County Public Schools,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of of Wings and Ruin,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Unknown,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Silver Flames,,,,,Administrative Review,Affiliation Unknown,Challenged - Removed While Under Review,,Unknown,,,School ,,,Florida,Brevard County Public Schools,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Silver Flames,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Silver Flames,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Thorn and Roses,,,,,Administrative Review,Affiliation Unknown,Challenged - Removed While Under Review,,Unknown,,,School ,,,Florida,Brevard County Public Schools,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Thorn and Roses,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,March,2022,North Carolina,Catawba County Schools,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Thorn and Roses,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Thorn and Roses,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,Fauquier County Public Schools,,,,,Unknown,,,,,,
"Pinguicha, Diana",A Curse of Roses,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Twiss, Jill",A Day in the Life of Marlon Brando,,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School ,,,Florida,Walton County School District,,,,,Unknown,,,,,,
"Asano, Inio",A Girl on the Shore,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Banned,,,School ,,,Ohio,Hudson,,,,,Unknown,,,,,,
"Ramee, Lisa Moore",A Good Kind of Trouble,,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School ,,,North Carolina,New Hanover County Schools,,,,,Unknown,,,,,,
"Ramee, Lisa Moore",A Good Kind of Trouble,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,Teachers Pulled After SD rules,Retained Restricted,,Restricted Permanently,School ,,,Texas,Carroll Independent School District,,,,,Unknown,,,,,,
"Ramee, Lisa Moore",A Good Kind of Trouble,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Elementary,Retained,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Ramee, Lisa Moore",A Good Kind of Trouble,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Middle School,Retained,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Ramee, Lisa Moore",A Good Kind of Trouble,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,11/2021 sent note to school?,Retained Restricted,Yes,"School wanted individual complaints per book - no response from parent, online ""outrage""",School ,,,Utah,Murray City School District,,,,,Unknown,,,,,,
"Ramee, Lisa Moore",A Good Kind of Trouble,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,11/2021 sent note to school?,Retained Restricted,Yes,"School wanted individual complaints per book - no response from parent, online ""outrage""",School ,,,Utah,Murray City School District,,,,,Unknown,,,,,,
"Ramee, Lisa Moore",A Good Kind of Trouble,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,Henrico County Public Schools,,,,,Unknown,,,,,,
"Craig, Joe",A Guy’s Guide to Sexuality and Sexual Identity in the 21st Century,,,,,Unclear,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Craig, Joe",A Guy’s Guide to Sexuality and Sexual Identity in the 21st Century,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,11/2021 sent note to school?,Retained Restricted,Yes,"School wanted individual complaints per book - no response from parent, online ""outrage""",School ,,,Utah,Murray City School District,,,,,Unknown,,,,,,
"Connor, Leslie","A home for goddesses and
 dogs",,,,,Unclear,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Nagara, Innosanto",A is for Activist,,,,,Administrative Review,Administration,Challenged - Location Unknown,2022-23 school year,Retained Restricted,Yes,recommended for professional collection - Prevention office,School ,,,Florida,Pinellas School District,,,,,Unknown,,,,,,
"Gaines, Ernest",A Lesson Before Dying,,,,,Administrative Review,Board Member,Challenged - Removed While Under Review,Contains sexually explicit language,Unknown,,,School ,,,Virginia,Virginia Beach,,,,,Unknown,,,,,,
"Lee, Victoria",A Lesson in Vengeance,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Lo, Malinda",A line in the dark,,,,,Unclear,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Horner, Emily",A Love Story Staring My Dead Best Friend,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Horner, Emily",A Love Story Staring My Dead Best Friend,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Middle School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Horner, Emily",A Love Story Staring My Dead Best Friend,,,,,Unclear,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Unknown,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,,,,,,
"Horner, Emily",A Love Story Staring My Dead Best Friend,,,,,Response to Law,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Duran, Rye",A Perfect Blank,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Faruqi, Saadia and Laura Shovan",A Place at the Table,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,"Contested for EL BOB - and as a result, elementary BOB was dropped",Unknown,,,School ,,,North Carolina,Wilkes County School District,,,,,Unknown,,,,,,
"Elliott, Zetta",A Place Inside of Me: A Poem to Heal The Heart,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,RETAINED June 2022,Retained,,challenged and resolved at school level in Fall 2021 22 challenge is to change reconsideration policy,School ,,,Virginia,Hanover County Public Schools,,,,,Unknown,,,,,,
,A Queer History of the United States for Young People,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,11/2021 sent note to school?,Retained Restricted,Yes,"School wanted individual complaints per book - no response from parent, online ""outrage""",School ,,,Utah,Murray City School District,,,,,Unknown,,,,,,
"G, Mady and Jules Zuckerberg",A Quick & Easy Guide to Queer & Trans Identities,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"G, Mady and Jules Zuckerberg",A Quick & Easy Guide to Queer & Trans Identities,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,FIVE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"G, Mady and Jules Zuckerberg",A Quick & Easy Guide to Queer & Trans Identities,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,,Retained HS,School ,March,2022,Vermont,Canaan Schools,,,,,Unknown,,,,,,
"Bongiovanni, Archie",A Quick & Easy Guide to They/Them Pronouns,,,,,Response to Law,Affiliation Unknown,Challenged - Removed While Under Review,FIVE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Gulliani, Maddie",A Quick and Easy Guide to Queer Identitites,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,Fauquier County Public Schools,,,,,Unknown,,,,,,
"Hansberry, Lorraine",A Raisin in the Sun,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,related to CRT education bill,Retained Restricted,Yes,Restricted from being taught in english classes,School ,,,Oklahoma,Edmond Public Schools,,,,,Unknown,,,,,,
"Reichardt, Marisa",A Shot at Normal,,,,,Administrative Review,Affiliation Unknown,Challenged - Location Unknown,"was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",Unknown,,,School ,,,Pennsylvania,Penncrest School District,,,,,Unknown,,,,,,
"Jonsbberg, Barry",A Song only I can hear,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,Fauquier County Public Schools,,,,,Unknown,,,,,,
"Bryant, Jennifer",A Splash of Red: The Life and Art of Horace Pippen,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,Fauquier County Public Schools,,,,,Unknown,,,,,,
"Ellen, Tom",A Totally Awkward Love Story,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,parent preparing challenge,Retained Restricted,Yes,Parent preparing challenge,School ,,,Florida,Orange County,,,,,Unknown,,,,,,
"Self, Jeffery","A very, very bad thing",,,,,Response to Law,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
,A Young People's History of the United States,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,11/2021 sent note to school?,Retained Restricted,Yes,"School wanted individual complaints per book - no response from parent, online ""outrage""",School ,,,Utah,Murray City School District,,,,,Unknown,,,,,,
"Dawson, Juno",This Book is Gay,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Banned,,,School ,April,2022,Florida,Brevard County Public Schools,,,,,Unknown,,,Brevard Cty M4L Site Stating They Are On Quarentine,,,
"Hopkins, Ellen",Triangles,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Banned,,,School ,April,2022,Florida,Brevard County Public Schools,,,,,Unknown,,,Brevard Cty M4L Site Stating They Are On Quarentine,,,
"Torr, James D",Abortion,,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School ,,,Texas,Klein ISD,,,,,Unknown,,,,,,
"Juettner, Bonnie",Abortion,,,,,Response to Law,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Rose, Melody","Abortion : a documentary
 and reference guide",,,,,Response to Law,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Lecesne, James",Absolute brightness,,,,,Response to Law,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Alexie, Sherman",Absolutely True Diary of a Part-Time Indian,,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,RESTRICT WITH PERMISSION HS (7/2022),Retained Restricted,Yes,Requires parent permission,School ,,,Mississippi,Madison County Schools,,,,,Unknown,,,,,,
"Àbíké-Íyímídé, Faridah",Ace of Spades,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Abike-Iyimide, Faridah",Ace of Spades,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,Fauquier County Public Schools,,,,,Unknown,,,,,,
"McSmith, Tobly",Act Cool,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Ward, Sarah",Aesop Lake,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,ONE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Efaw, Amy",After,,,,,Response to Law,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Unknown,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,,,,,,
"Efaw, Amy",After,,,,,Response to Law,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Glines, Abbi",After the Game,,,,,Response to Law,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Unknown,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,,,,,,
"Todd, Anna",After We Collided,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Committee said book was not available in schools - BUT in these cases we've added them because intent was there.,Banned,,,School ,February,2022,Georgia,Cherokee County School District,,,,,Unknown,,,,,,
"Westerfeld, Scott",Afterworlds,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Westerfeld, Scott",Afterworlds,,,,,Response to Law,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Unknown,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,,,,,,
"Westerfeld, Scott",Afterworlds,,,,,Response to Law,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Bell, Eric",Alan Cole is not a coward,,,,,Response to Law,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
